date,open,high,low,close,volume,company
2021-01-04,130.56318102910515,130.65118438275988,123.95288029193061,126.54419708251953,143301900,AAPL
2021-01-05,126.03573205393475,128.82262480989533,125.58591218267613,128.10877990722656,97664900,AAPL
2021-01-06,124.89164809492219,128.14790719971865,123.58131844938153,123.79644775390625,155088000,AAPL
2021-01-07,125.51744598739764,128.7150354443587,125.02851857468899,128.020751953125,109578200,AAPL
2021-01-08,129.49732241128856,129.6929053357967,127.3460445296394,129.12574768066406,105158200,AAPL
2021-01-11,126.32908963536809,127.2873833559887,125.65436729910552,126.12373352050781,100384500,AAPL
2021-01-12,125.65437152449397,126.81802139910498,124.05068986996612,125.9477310180664,91951100,AAPL
2021-01-13,125.90861891381952,128.5390515537827,125.64460877648199,127.991455078125,88636800,AAPL
2021-01-14,127.90341233092093,128.09898030904876,125.90858015972827,126.05526733398438,90221800,AAPL
2021-01-15,125.92816740358766,127.33628100990751,124.18758667379879,124.3244857788086,111598500,AAPL
2021-01-19,124.95031080875204,125.85972371835675,124.1289161890907,124.99920654296875,90757300,AAPL
2021-01-20,125.81081955583028,129.55600574850897,125.70325491611274,129.10618591308594,104319500,AAPL
2021-01-21,130.83699752771275,136.57700140751876,130.63164141951881,133.83900451660156,120150900,AAPL
2021-01-22,133.26208668957645,136.75303642382855,132.02999468266142,135.9903106689453,114459400,AAPL
2021-01-25,139.90172260354075,141.8769789688564,133.51631569933016,139.75503540039062,157611700,AAPL
2021-01-26,140.419974133378,141.1044696012595,138.23934689307262,139.98971557617188,98390600,AAPL
2021-01-27,140.2537497289202,141.10449381150278,137.30063807210604,138.91409301757812,140843800,AAPL
2021-01-28,136.43031805990591,138.84562082531298,133.67276011557627,134.0541229248047,142621100,AAPL
2021-01-29,132.82204425725396,133.71189587363907,127.3265040222691,129.03775024414062,177523800,AAPL
2021-02-01,130.78810127267676,132.38200963670096,128.03054311559552,131.16946411132812,106239800,AAPL
2021-02-02,132.72425930217142,133.29141701118044,131.62906644112428,132.0006561279297,83305400,AAPL
2021-02-03,132.7535804324545,132.76336853115643,130.6511982932754,130.97389221191406,89880900,AAPL
